Loan Status,Current Loan Amount,Term,Credit Score,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Charged Off,3074,Short Term,707,10,Rent,37907,Other,922.39,21,35,13,0,13054,35473,0,0
Charged Off,33913,Long Term,663,3,Mortgage,162944,DebtConsolidation,2498.47,13.5,NA,9,1,1236,11239,1,0
Charged Off,5638,Short Term,738,5,Own Home,60402,DebtConsolidation,1434.55,19,48,11,0,1990,9477,0,0
Charged Off,9478,Short Term,742,2,Rent,28632,DebtConsolidation,670.46,9.4,NA,8,0,8967,19451,0,0
Charged Off,10032,Long Term,665,1,Rent,52166,Other,323.86,21,NA,9,0,10160,10729,0,0
Charged Off,3950,Short Term,741,9,Rent,41479,Other,30.76,19.5,26,4,0,747,2765,0,0
Charged Off,14867,Short Term,704,8,Rent,74333,DebtConsolidation,992.96,25.4,48,10,0,13385,17635,0,0
Charged Off,30111,Long Term,700,10,Mortgage,103381,DebtConsolidation,1378.41,37.5,42,14,0,24464,34120,0,0
Charged Off,20216,Long Term,692,2,Rent,46497,DebtConsolidation,1088.8,11.5,57,15,0,15745,19414,0,0
Charged Off,24958,Short Term,722,10,Mortgage,79864,BusinessLoan,798.64,13.3,29,14,1,24002,44697,0,1
Charged Off,10711,Short Term,738,5,Rent,36074,DebtConsolidation,685.41,8.4,11,11,0,11262,22524,0,0
Charged Off,4057,Short Term,735,10,Mortgage,40572,DebtConsolidation,760.73,18,20,13,0,32840,61614,0,0
Charged Off,8881,Short Term,708,1,Rent,65046,DebtConsolidation,1062.41,14,16,12,0,3461,4703,0,0
Charged Off,5052,Short Term,725,10,Mortgage,30312,DebtConsolidation,679.49,15.7,38,10,1,7740,12131,1,0
Charged Off,8074,Short Term,734,6,Mortgage,55512,DebtConsolidation,957.57,13.8,58,17,0,3318,5050,0,0
Charged Off,20200,Short Term,668,2,Own Home,223254,Other,1787.89,7.4,6,11,2,2915,10335,0,2
Charged Off,29502,Long Term,721,6,Mortgage,65888,HomeImprovements,1164.02,16.5,NA,20,0,23032,35218,0,0
Charged Off,10801,Short Term,746,10,Mortgage,39276,DebtConsolidation,346.93,9,58,9,0,10242,23491,0,0
Charged Off,15665,Long Term,679,10,Rent,54879,DebtConsolidation,1079.29,7.4,NA,13,0,5828,12670,0,0
Charged Off,10527,Short Term,721,1,Rent,35669,DebtConsolidation,698.51,18.8,52,11,0,9401,12584,0,0
Charged Off,34370,Short Term,710,0.5,Mortgage,90613,DebtConsolidation,1532.87,26.4,NA,10,0,18492,23707,0,0
Charged Off,35595,Short Term,727,9,Mortgage,81360,DebtConsolidation,1939.08,31.4,NA,18,0,33486,50659,0,0
Charged Off,8871,Short Term,737,7,Mortgage,44825,DebtConsolidation,1154.24,15.5,NA,17,0,21621,34704,0,0
Charged Off,14404,Long Term,680,2,Rent,39473,BusinessLoan,286.84,13,NA,6,0,9393,14653,0,0
Charged Off,8638,Short Term,727,1,Rent,21695,DebtConsolidation,491.75,29,9,12,0,11210,41063,0,0
Charged Off,35798,Long Term,658,7,Rent,93075,DebtConsolidation,2520.77,7.8,NA,11,0,5140,6955,0,0
Charged Off,6920,Long Term,711,10,Rent,31632,DebtConsolidation,551.71,16,NA,12,1,11242,16484,1,0
Charged Off,12920,Long Term,729,4,Mortgage,73410,DebtConsolidation,1121.95,16.7,NA,13,0,18608,34332,0,0
Charged Off,12154,Short Term,716,8,Mortgage,53855,DebtConsolidation,632.8,11.6,3,14,0,10788,27732,0,0
Charged Off,30570,Long Term,665,10,Mortgage,85229,DebtConsolidation,1740.1,22.1,NA,25,0,27532,34851,0,0
Charged Off,23909,Long Term,700,8,Rent,79696,Other,452.27,13.3,19,13,0,1325,4180,0,0
Charged Off,20494,Short Term,737,4,Mortgage,69680,DebtConsolidation,1039.38,14.6,30,17,1,17133,26521,1,0
Charged Off,19626,Long Term,715,1,Rent,78504,Other,49.07,15.6,45,5,0,300,8832,0,0
Charged Off,26476,Long Term,595,3,Mortgage,59946,DebtConsolidation,904.19,19,NA,7,0,24043,23876,0,0
Charged Off,15284,Short Term,739,5,Rent,63172,DebtConsolidation,1521.39,16.5,30,13,0,8718,9071,0,0
Charged Off,11803,Long Term,662,4,Mortgage,68852,HomeImprovements,1319.67,12.7,66,21,0,5796,25422,0,0
Charged Off,34444,Short Term,698,10,Mortgage,149583,DebtConsolidation,3290.83,33.7,NA,22,0,86929,102997,0,0
Charged Off,19798,Long Term,721,10,Rent,62364,DebtConsolidation,873.09,12.4,NA,11,0,14626,27912,0,0
Charged Off,25979,Long Term,629,2,Rent,69944,DebtConsolidation,1439.68,12.1,NA,17,0,11999,19479,0,0
Charged Off,6444,Short Term,743,2,Rent,46867,DebtConsolidation,1066.23,11.9,22,10,0,7196,17990,0,0
Charged Off,6952,Short Term,746,3,Mortgage,71510,HomeImprovements,1221.64,10.6,69,14,1,12549,28327,1,0
Charged Off,21222,Long Term,731,2,Own Home,58950,DebtConsolidation,564.94,15.6,NA,5,0,4808,8450,0,0
Charged Off,7760,Short Term,732,7,Mortgage,44064,DebtConsolidation,155.69,10.6,NA,3,0,5116,6364,0,0
Charged Off,9909,Short Term,726,3,Mortgage,29727,HomeImprovements,117.92,12.5,NA,20,0,3997,6741,0,0
Charged Off,20500,Long Term,696,9,Mortgage,61500,HomeImprovements,809.75,15.9,NA,13,1,29987,55842,0,0
Charged Off,12925,Short Term,721,2,Rent,49710,DebtConsolidation,973.49,11,NA,17,0,18666,19985,0,0
Charged Off,15131,Short Term,745,10,Mortgage,50435,DebtConsolidation,424.49,15.4,NA,8,0,40304,57412,0,0
Charged Off,12060,Short Term,738,6,Mortgage,81405,BusinessLoan,1173.59,20,61,11,0,17758,29947,0,0
Charged Off,4994,Short Term,711,5,Mortgage,55933,Other,284.79,10,NA,7,0,4549,6892,0,0
Charged Off,13274,Long Term,704,10,Rent,53097,DebtConsolidation,592.92,21.7,NA,7,0,4736,6026,0,0
Charged Off,26921,Long Term,616,1,Mortgage,60954,DebtConsolidation,348.45,21,NA,11,0,24463,31402,0,0
Charged Off,15545,Long Term,689,10,Mortgage,75705,DebtConsolidation,940,18.7,NA,11,0,11071,18893,0,0
Charged Off,6029,Short Term,713,10,Mortgage,55264,Other,1022.38,28.5,8,7,0,12967,13258,0,0
Charged Off,18385,Short Term,692,8,Rent,76605,MajorPurchase,37.67,18.2,24,3,0,181,4758,0,0
Charged Off,16269,Short Term,710,10,Mortgage,42706,DebtConsolidation,629.91,15.8,16,7,0,3319,6203,0,0
Charged Off,3546,Short Term,738,4,Rent,38354,MajorPurchase,533.44,11.4,NA,8,0,5507,9088,0,0
Charged Off,34661,Long Term,702,10,Mortgage,96059,DebtConsolidation,1176.72,46.7,15,8,0,15272,16637,0,0
Charged Off,10904,Short Term,733,6,Rent,46442,DebtConsolidation,248.46,10.2,NA,6,0,10183,10596,0,0
Charged Off,15305,Short Term,739,10,Mortgage,102030,DebtConsolidation,2822.83,16.3,52,13,0,8410,29718,0,0
Charged Off,6098,Short Term,724,10,Rent,28292,DebtConsolidation,414.95,21.6,43,7,0,4357,4879,0,0
Charged Off,35049,Short Term,723,0.5,Rent,176246,DebtConsolidation,1600.91,15.5,12,11,0,39107,59253,0,0
Charged Off,4090,Short Term,750,1,Rent,18405,DebtConsolidation,381.9,14.5,NA,8,0,3682,11057,0,0
Charged Off,11954,Short Term,721,3,Rent,41840,DebtConsolidation,993.71,15.4,81,6,0,1593,3983,0,0
Charged Off,10570,Short Term,740,6,Rent,31558,DebtConsolidation,733.73,10.4,NA,13,0,14125,18488,0,0
Charged Off,29265,Long Term,719,9,Mortgage,92673,DebtConsolidation,2170.08,18.6,NA,22,0,56817,97123,0,0
Charged Off,34839,Long Term,615,10,Mortgage,109494,DebtConsolidation,1815.78,15.3,54,21,0,36751,60050,0,0
Charged Off,20216,Long Term,706,5,Rent,101080,DebtConsolidation,2282.72,16.1,72,22,0,18598,27799,0,0
Charged Off,2974,Short Term,726,10,Mortgage,44604,DebtConsolidation,61.34,17.2,19,7,0,1196,4767,0,0
Charged Off,6084,Short Term,683,0.5,Rent,39092,DebtConsolidation,112.39,29.1,NA,6,0,2620,6065,0,0
Charged Off,19806,Long Term,672,5,Rent,49515,DebtConsolidation,1105.84,23.7,9,8,0,33927,63060,0,0
Charged Off,17368,Short Term,697,6,Mortgage,52130,DebtConsolidation,1372.75,20.1,28,21,0,16999,24962,0,0
Charged Off,20760,Long Term,727,2,Rent,96207,DebtConsolidation,681.47,14.3,NA,6,0,1121,62281,0,0
Charged Off,2544,Short Term,746,2,Mortgage,34588,HomeImprovements,418.22,27.4,NA,11,0,26469,58429,0,0
Charged Off,14973,Short Term,732,7,Mortgage,74865,DebtConsolidation,1129.21,23.6,36,27,0,6966,25518,0,0
Charged Off,29382,Short Term,729,7,Rent,76393,DebtConsolidation,1260.49,20.1,NA,7,0,19426,26539,0,0
Charged Off,14409,Long Term,719,10,Mortgage,48760,DebtConsolidation,995.51,17.7,62,16,0,11918,55432,0,0
Charged Off,12293,Short Term,747,1,Rent,76830,DebtConsolidation,691.47,23,33,14,0,10325,25813,0,0
Charged Off,8910,Short Term,711,10,Mortgage,54753,HomeImprovements,798.47,20,20,11,0,1293,8679,0,0
Charged Off,35788,Long Term,678,10,Mortgage,94070,DebtConsolidation,2320.39,20.5,NA,21,0,45614,56663,0,0
Charged Off,11036,Short Term,745,10,Rent,35116,DebtConsolidation,280.92,20.1,NA,5,0,10657,18962,0,0
Charged Off,21258,Long Term,676,10,Mortgage,82756,DebtConsolidation,1544.77,18.2,18,20,0,16517,27345,0,0
Charged Off,35172,Long Term,714,2,Mortgage,150735,DebtConsolidation,1871.63,16.5,10,12,0,35750,41187,0,0
Charged Off,1983,Short Term,739,5,Mortgage,49570,DebtConsolidation,1012.05,20.5,44,14,0,12177,28254,0,0
Charged Off,24908,Long Term,710,7,Mortgage,114575,DebtConsolidation,1938.22,19.3,NA,5,0,19427,21514,0,0
Charged Off,28954,Long Term,726,9,Mortgage,64736,DebtConsolidation,1850.37,26.1,NA,11,0,34229,66079,0,0
Charged Off,25306,Long Term,711,10,Rent,55087,DebtConsolidation,867.62,18.4,64,18,0,29464,81844,0,0
Charged Off,5465,Long Term,707,1,Mortgage,88970,Other,1794.22,13.8,16,11,0,40913,46282,0,0
Charged Off,3985,Short Term,740,10,Rent,38557,Other,597.63,21.5,NA,4,0,4719,6474,0,0
Charged Off,21379,Long Term,585,10,Rent,60294,HomePurchase,1517.4,11.1,NA,5,0,6621,13163,0,0
Charged Off,35378,Long Term,709,7,Mortgage,106134,DebtConsolidation,2750.64,22.5,NA,28,0,53125,116246,0,0
Charged Off,11714,Long Term,720,3,Mortgage,60524,DebtConsolidation,812.03,12.2,47,10,0,7232,10745,0,0
Charged Off,11374,Short Term,735,10,Mortgage,78858,DebtConsolidation,1445.73,44.5,NA,20,0,30527,48843,0,0
Charged Off,21810,Long Term,682,0.5,Rent,49191,DebtConsolidation,848.55,15.8,NA,10,0,26844,30505,0,0
Charged Off,23614,Long Term,705,10,Rent,78712,DebtConsolidation,2039.95,15.3,NA,13,0,13707,15046,0,0
Charged Off,7838,Short Term,742,5,Rent,34786,DebtConsolidation,837.75,12.8,NA,15,0,11240,18426,0,0
Charged Off,7590,Long Term,723,8,Mortgage,50265,DebtConsolidation,529.87,16.8,63,8,0,10497,22527,0,0
Charged Off,25914,Long Term,694,9,Mortgage,74259,DebtConsolidation,500.63,14.6,NA,9,0,10435,10962,0,0
Charged Off,18292,Short Term,725,7,Mortgage,99588,BusinessLoan,1561.87,22.7,NA,9,0,49128,60953,0,0
Charged Off,11729,Short Term,722,1,Rent,74282,Other,1108.05,23.8,NA,10,0,12207,17001,0,0
Charged Off,2228,Short Term,747,1,Mortgage,58748,DebtConsolidation,1385.48,17.2,NA,16,0,9683,33162,0,0
Charged Off,34958,Long Term,717,10,Mortgage,197762,DebtConsolidation,1356.32,18.3,NA,9,1,5646,22317,0,1
Charged Off,13720,Short Term,702,5,Mortgage,40728,DebtConsolidation,896.02,25,13,11,0,11560,38277,0,0
Charged Off,6145,Short Term,720,2,Own Home,35844,DebtConsolidation,860.24,19,22,16,0,17275,40935,0,0
Charged Off,11076,Long Term,662,4,Rent,35921,DebtConsolidation,137.7,12,NA,10,0,2996,9988,0,0
Charged Off,9275,Short Term,722,4,Rent,39468,DebtConsolidation,726.87,44,NA,9,0,9649,14210,0,0
Charged Off,19538,Short Term,733,5,Rent,63499,BusinessLoan,1312.3,20,71,13,0,8980,25366,0,0
Charged Off,9929,Short Term,681,10,Own Home,84397,BusinessLoan,738.47,30.2,NA,3,0,34230,39436,0,0
Charged Off,9871,Short Term,742,5,Rent,39484,DebtConsolidation,947.62,8.1,NA,6,0,1867,12121,0,0
Charged Off,18119,Short Term,736,10,Rent,52343,DebtConsolidation,545.25,20,NA,6,0,5565,6239,0,0
Charged Off,8703,Short Term,747,2,Mortgage,69825,DebtConsolidation,1076.47,21.9,NA,10,0,26943,37684,0,0
Charged Off,7259,Short Term,727,10,Rent,48394,DebtConsolidation,838.82,13.8,NA,9,0,18025,22588,0,0
Charged Off,15119,Short Term,749,5,Mortgage,85672,DebtConsolidation,935.25,13.4,NA,14,0,20991,56885,0,0
Charged Off,35816,Long Term,649,6,Mortgage,130982,DebtConsolidation,1795.55,23,NA,23,0,67041,77148,0,0
Charged Off,11940,Short Term,742,4,Rent,47760,DebtConsolidation,525.36,22.7,4,9,0,12485,16027,0,0
Charged Off,9932,Long Term,687,7,Rent,56612,DebtConsolidation,257.12,18.9,46,6,0,7406,12221,0,0
Charged Off,16123,Short Term,717,10,Rent,98251,DebtConsolidation,519.91,18.2,61,17,0,11890,24874,0,0
Charged Off,16825,Long Term,740,2,Mortgage,95000,DebtConsolidation,1504.17,18.9,NA,14,0,29094,56493,0,0
Charged Off,3017,Short Term,748,10,Mortgage,34697,DebtConsolidation,858.75,29.5,NA,8,0,6052,11355,0,0
Charged Off,34409,Short Term,732,2,Rent,114040,DebtConsolidation,1843.64,18.7,23,12,0,43507,48395,0,0
Charged Off,15629,Short Term,738,10,Rent,168003,DebtConsolidation,261.81,23.2,NA,11,0,6528,14346,0,0
Charged Off,17933,Long Term,721,10,Mortgage,56789,DebtConsolidation,899.16,16.4,NA,15,0,14529,41393,0,0
Charged Off,7421,Short Term,711,5,Rent,39576,DebtConsolidation,458.42,12.5,NA,9,1,3449,7025,1,0
Charged Off,34682,Long Term,675,6,Mortgage,143681,DebtConsolidation,1364.96,21.5,76,12,0,33751,85880,0,0
Charged Off,11735,Long Term,683,7,Rent,44006,DebtConsolidation,894.78,12.5,19,8,0,4186,15858,0,0
Charged Off,4434,Short Term,695,2,Own Home,33442,DebtConsolidation,744.09,6.2,NA,8,0,4420,7810,0,0
Charged Off,6496,Short Term,711,10,Rent,55825,DebtConsolidation,362.4,14.7,NA,7,0,7264,8980,0,0
Charged Off,21483,Long Term,663,1,Rent,97650,DebtConsolidation,1399.65,9.1,NA,9,0,18659,44854,0,0
Charged Off,17614,Long Term,658,10,Rent,54349,DebtConsolidation,1539.88,16.9,NA,13,0,23310,25929,0,0
Charged Off,26967,Long Term,727,1,Mortgage,98780,DebtConsolidation,740.85,23.4,NA,13,0,15747,49362,0,0
Charged Off,34902,Long Term,662,1,Rent,99720,DebtConsolidation,1396.08,14,NA,13,0,45411,75685,0,0
Charged Off,34255,Long Term,724,1,Mortgage,72424,DebtConsolidation,1019.97,15.9,NA,5,0,23863,40105,0,0
Charged Off,10031,Short Term,680,0.5,Rent,62192,Other,647.83,34,NA,9,1,12884,18564,1,0
Charged Off,14323,Short Term,750,3,Rent,53837,DebtConsolidation,1170.96,19.9,NA,5,0,45881,102642,0,0
Charged Off,9069,Short Term,720,6,Rent,31990,DebtConsolidation,845.06,11.2,74,17,0,12006,20845,0,0
Charged Off,12961,Long Term,713,1,Mortgage,46695,DebtConsolidation,758.81,9.1,NA,8,0,13476,18537,0,0
Charged Off,10012,Short Term,680,10,Rent,70084,BusinessLoan,270.4,13.3,NA,6,0,9502,10013,0,0
Charged Off,6499,Short Term,745,3,Mortgage,69986,HomeImprovements,886.49,20.5,8,15,0,7116,30937,0,0
Charged Off,3744,Short Term,693,5,Mortgage,29810,DebtConsolidation,785,27.8,1,12,0,4987,13968,0,0
Charged Off,10121,Short Term,743,10,Rent,100198,DebtConsolidation,1803.56,22.9,NA,13,0,23002,27647,0,0
Charged Off,6108,Short Term,720,10,Own Home,49260,DebtConsolidation,439.23,27.7,36,8,0,10523,21173,0,0
Charged Off,5003,Short Term,710,9,Rent,21013,Other,348.29,10,NA,17,0,9185,17834,0,0
Charged Off,34675,Short Term,732,10,Mortgage,396280,Other,10831.65,32.5,NA,28,0,1730472,4483087,0,0
Charged Off,8054,Short Term,739,2,Rent,40268,DebtConsolidation,798.65,17.5,NA,18,1,9094,24379,1,0
Charged Off,18054,Short Term,714,7,Rent,130390,DebtConsolidation,546.55,18.9,NA,10,1,14629,24260,1,0
Charged Off,10148,Short Term,741,2,Mortgage,126850,DebtConsolidation,631.08,28,70,14,1,16385,26091,1,0
Charged Off,22926,Long Term,692,0.5,Mortgage,60475,DebtConsolidation,1663.07,25,NA,16,0,43254,72573,0,0
Charged Off,8683,Long Term,701,7,Rent,35521,DebtConsolidation,716.34,9.8,NA,25,0,8384,22783,0,0
Charged Off,20318,Long Term,664,10,Mortgage,76193,HomeImprovements,379.06,20.4,NA,10,0,3826,13615,0,0
Charged Off,34773,Long Term,685,10,Mortgage,79977,HomeImprovements,786.43,16.1,32,10,0,15229,23145,0,0
Charged Off,15074,Long Term,680,8,Rent,50245,DebtConsolidation,1180.76,16.6,NA,12,0,17951,27034,0,0
Charged Off,8257,Short Term,710,8,Mortgage,55048,DebtConsolidation,911.04,20.7,58,14,0,6061,9239,0,0
Charged Off,15224,Short Term,744,10,Mortgage,111639,BusinessLoan,99.54,19.3,NA,6,0,3947,21568,0,0
Charged Off,19902,Long Term,616,10,Mortgage,92544,DebtConsolidation,1650.37,31.8,NA,14,0,38526,42477,0,0
Charged Off,4259,Short Term,713,0.5,Rent,59826,Other,1525.56,17.2,7,14,0,33660,54642,0,0
Charged Off,17712,Short Term,684,0.5,Mortgage,68880,Wedding,1779.4,23.6,NA,20,0,34449,40057,0,0
Charged Off,13950,Short Term,670,10,Rent,41189,DebtConsolidation,1359.25,18.3,13,9,0,16373,22155,0,0
Charged Off,18497,Long Term,613,0.5,Mortgage,47165,Other,475.58,22.7,26,12,0,2908,11868,0,0
Charged Off,20380,Long Term,693,10,Mortgage,91710,DebtConsolidation,1643.14,22.7,26,11,0,12020,18351,0,0
Charged Off,7376,Short Term,652,0.5,Own Home,21878,DebtConsolidation,182.32,24.5,NA,9,1,4990,6309,1,0
Charged Off,11421,Short Term,736,10,Rent,35690,DebtConsolidation,383.66,22,NA,10,0,11190,21813,0,0
Charged Off,7882,Short Term,700,3,Rent,27415,DebtConsolidation,703.65,13.3,64,11,0,6851,17041,0,0
Charged Off,10533,Short Term,733,2,Rent,49565,DebtConsolidation,300.28,8.3,NA,8,0,4945,8926,0,0
Charged Off,24533,Short Term,708,4,Rent,64614,DebtConsolidation,1507.67,13.8,31,9,0,11349,14221,0,0
Charged Off,20134,Long Term,650,1,Mortgage,75503,Other,924.91,15.8,5,11,0,14013,15101,0,0
Charged Off,3579,Short Term,624,2,Rent,28230,Other,738.68,10.5,15,14,0,7294,12096,0,0
Charged Off,11076,Short Term,709,6,Mortgage,68614,DebtConsolidation,949.16,17.4,19,10,0,18224,26958,0,0
Charged Off,8197,Short Term,743,3,Mortgage,43033,DebtConsolidation,1050.73,18.6,32,10,0,17157,33707,0,0
Charged Off,31720,Long Term,682,10,Own Home,80032,DebtConsolidation,700.28,17.2,11,10,0,25431,31828,0,0
Charged Off,17537,Long Term,653,5,Rent,41804,DebtConsolidation,512.09,19.7,7,14,1,9448,15288,0,1
Charged Off,8516,Short Term,693,5,Rent,112530,DebtConsolidation,1162.81,20,51,10,1,4867,9507,1,0
Charged Off,14277,Short Term,730,10,Rent,57109,DebtConsolidation,1308.74,23,NA,15,0,11535,28623,0,0
Charged Off,23414,Short Term,734,2,Mortgage,195120,DebtConsolidation,4666.62,29.1,19,24,0,25960,68676,0,0
Charged Off,10862,Short Term,692,1,Rent,32333,DebtConsolidation,606.24,9.8,NA,11,0,13037,18183,0,0
Charged Off,27167,Long Term,685,10,Rent,92042,DebtConsolidation,2485.14,12.7,NA,21,0,17435,50682,0,0
Charged Off,11697,Short Term,736,0.5,Rent,71197,Other,872.16,25.3,60,7,0,8376,12409,0,0
Charged Off,11327,Short Term,741,10,Mortgage,75848,DebtConsolidation,1308.37,19.3,NA,12,0,31826,38024,0,0
Charged Off,24603,Short Term,731,10,Mortgage,66873,DebtConsolidation,1554.79,30,NA,14,0,30386,39208,0,0
Charged Off,34070,Long Term,718,3,Rent,89232,Other,825.4,21.8,NA,4,0,1638,29243,0,0
Charged Off,24556,Short Term,705,2,Mortgage,103446,DebtConsolidation,752.57,22.1,78,15,0,7481,33849,0,0
Charged Off,21284,Long Term,699,6,Rent,61824,DebtConsolidation,1190.1,11.7,NA,14,0,13236,14187,0,0
Charged Off,18412,Long Term,728,10,Rent,49099,DebtConsolidation,945.16,21.8,NA,11,0,25620,36392,0,0
Charged Off,8288,Short Term,744,4,Rent,100494,DebtConsolidation,603.8,14,16,10,0,8427,13883,0,0
Charged Off,19821,Short Term,747,1,Mortgage,45162,DebtConsolidation,587.11,18.8,NA,10,0,24029,45424,0,0
Charged Off,10471,Short Term,724,4,Rent,26367,DebtConsolidation,333.97,20.4,63,20,0,2273,9018,0,0
Charged Off,15656,Long Term,667,2,Rent,35581,DebtConsolidation,1043.71,17,32,15,1,25212,38609,0,1
Charged Off,23255,Long Term,600,10,Mortgage,67007,DebtConsolidation,1328.98,15.1,39,9,0,42923,224728,0,0
Charged Off,6859,Short Term,730,10,Rent,53889,DebtConsolidation,916.11,16.3,27,7,0,3898,8919,0,0
Charged Off,8659,Short Term,747,3,Rent,25368,DebtConsolidation,232.54,12.9,NA,4,0,6864,13175,0,0
Charged Off,4002,Short Term,659,6,Rent,28011,DebtConsolidation,660.59,8,NA,10,0,9391,17423,0,0
Charged Off,15483,Long Term,714,10,Rent,46065,DebtConsolidation,1197.69,11.5,13,17,0,8066,28203,0,0
Charged Off,15758,Long Term,601,1,Own Home,78792,Other,1503.62,18.5,NA,17,0,15061,17930,0,0
Charged Off,2047,Short Term,734,10,Rent,51583,Other,907.01,11.6,NA,17,0,10788,16054,0,0
Charged Off,6644,Short Term,731,3,Rent,50145,DebtConsolidation,743.82,10.7,49,9,0,4134,10822,0,0
Charged Off,2543,Short Term,727,2,Rent,26409,DebtConsolidation,455.55,16.8,NA,6,0,2128,9674,0,0
Charged Off,11685,Short Term,740,10,Rent,35564,DebtConsolidation,515.67,16.5,NA,8,0,8014,15652,0,0
Charged Off,11110,Long Term,723,0.5,Mortgage,25286,DebtConsolidation,103.89,19.7,29,9,0,1807,9511,0,0
Charged Off,21314,Long Term,647,8,Rent,96518,Other,310.47,14.4,NA,19,1,9677,36795,1,0
Charged Off,8176,Short Term,746,9,Mortgage,132860,DebtConsolidation,1417.18,13.5,NA,10,0,19998,26383,0,0
Charged Off,5003,Short Term,740,1,Mortgage,43022,DebtConsolidation,595.13,6.3,NA,10,0,2624,9903,0,0
Charged Off,11917,Short Term,730,10,Own Home,74483,DebtConsolidation,1235.17,29.4,35,13,0,35767,57228,0,0
Charged Off,24900,Short Term,748,1,Rent,89640,DebtConsolidation,1060.74,21.2,NA,6,1,5663,29343,1,0
Charged Off,17259,Short Term,710,7,Mortgage,43222,DebtConsolidation,1004.9,11.7,49,9,0,3817,16740,0,0
Charged Off,32881,Short Term,706,3,Mortgage,134264,DebtConsolidation,2830.73,20.2,44,19,0,33313,40135,0,0
Charged Off,7918,Short Term,728,5,Rent,28506,DebtConsolidation,734.04,10.4,NA,8,0,7386,11487,0,0
Charged Off,29601,Short Term,748,10,Mortgage,130244,DebtConsolidation,1671.47,17.3,NA,8,0,14125,27426,0,0
Charged Off,24973,Long Term,679,3,Mortgage,55877,DebtConsolidation,1280.52,25.6,7,12,0,15959,34101,0,0
Charged Off,9883,Short Term,721,1,Rent,29649,DebtConsolidation,711.58,11.4,9,7,0,9364,9846,0,0
Charged Off,28255,Long Term,719,10,Own Home,176593,DebtConsolidation,1464.24,28.3,NA,11,0,338075,828614,0,0
Charged Off,21308,Long Term,623,10,Mortgage,162736,Other,2102.01,12.2,NA,27,0,24666,30117,0,0
Charged Off,10032,Short Term,724,2,Rent,40842,Other,738.55,10.6,NA,18,0,17663,29389,0,0
Charged Off,11030,Long Term,667,1,Rent,24585,Other,530.61,22.9,24,19,0,13416,21261,0,0
Charged Off,34668,Short Term,684,1,Mortgage,123614,HomePurchase,1400.96,15.3,35,19,0,4524,24190,0,0
Charged Off,13299,Long Term,664,6,Rent,39404,DebtConsolidation,423.59,22.4,NA,14,0,8842,10025,0,0
Charged Off,24353,Long Term,732,3,Mortgage,54794,DebtConsolidation,1068.48,17.9,61,15,0,22668,37345,0,0
Charged Off,10018,Long Term,738,7,Own Home,22768,DebtConsolidation,203.39,15.8,58,4,0,8510,18030,0,0
Charged Off,7250,Short Term,733,2,Rent,68469,Other,1534.85,11,NA,10,0,25747,33745,0,0
Charged Off,18256,Short Term,732,7,Rent,91278,DebtConsolidation,1528.91,15.9,NA,11,0,24762,27574,0,0
Charged Off,12029,Short Term,737,5,Own Home,36086,DebtConsolidation,965.31,24.9,NA,9,0,10535,14029,0,0
Charged Off,19944,Short Term,718,4,Rent,102712,DebtConsolidation,1566.35,8.7,NA,15,0,16014,48823,0,0
Charged Off,17083,Short Term,590,10,Rent,95871,BusinessLoan,428.23,18.5,19,7,0,5964,24545,0,0
Charged Off,13442,Short Term,725,7,Rent,35508,DebtConsolidation,748.62,10.7,NA,11,0,14768,19690,0,0
Charged Off,17941,Short Term,727,10,Mortgage,177413,DebtConsolidation,1714.99,35.8,28,12,1,7462,10222,1,0
Charged Off,8184,Short Term,742,6,Mortgage,76725,DebtConsolidation,773.64,14.5,NA,7,0,6406,9721,0,0
Charged Off,12145,Short Term,743,2,Rent,50605,DebtConsolidation,792.81,24.7,49,9,0,14437,23589,0,0
Charged Off,11705,Long Term,710,0.5,Own Home,35014,DebtConsolidation,866.6,14.5,NA,8,0,4786,7609,0,0
Charged Off,23825,Long Term,712,6,Mortgage,178686,DebtConsolidation,3246.13,22.5,NA,15,0,20594,44098,0,0
Charged Off,9823,Long Term,722,1,Rent,34381,DebtConsolidation,664.69,10.4,70,5,0,9296,11590,0,0
Charged Off,17930,Short Term,739,3,Rent,64747,Other,749.98,17,78,9,0,6657,11951,0,0
Charged Off,20987,Long Term,722,10,Mortgage,73456,DebtConsolidation,1156.94,17.4,45,17,0,16721,31371,0,0
Charged Off,5015,Short Term,709,10,Mortgage,75218,DebtConsolidation,977.83,26,NA,18,1,13144,26880,1,0
Charged Off,30690,Long Term,662,10,Mortgage,131967,DebtConsolidation,1253.69,18.3,NA,12,0,37751,78321,0,0
Charged Off,12143,Short Term,748,1,Rent,40476,DebtConsolidation,411.51,13.5,NA,9,0,9176,15117,0,0
Charged Off,19522,Long Term,665,1,Rent,58566,DebtConsolidation,512.45,14,80,6,0,17871,20495,0,0
Charged Off,8110,Short Term,733,1,Own Home,38521,MedicalBills,834.61,18.2,50,11,2,4040,6893,2,0
Charged Off,11882,Short Term,729,4,Rent,35647,DebtConsolidation,487.18,15.8,39,7,0,7491,8160,0,0
